time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-9.47354536254e-08,4.62676001341e-08,10.0013152557,6.01063905927e-05,0.000114749914009,0.0,-8.76845966743e-06,4.42518697126e-06,0.0438407262555,0.00293375122975,0.00548687753974,0.0,418.4743494917919,418.9515658401316,418.566391308541,418.82156169668
0.12000000000000001,-4.20087367017e-06,2.46974086372e-06,10.0066395301,0.000500084568281,0.000449128409107,0.0,-0.000161447818437,0.000108516203789,0.133628106138,0.0149319888369,0.00574462312783,0.0,433.8252698763139,433.84681219174723,432.9660828491002,433.97407733877947
0.18,-2.41536880508e-05,2.31195470039e-05,10.0170174299,0.00203092140077,0.000790399695924,0.0,-0.000537543724965,0.000705350212046,0.212289771907,0.0410090097512,0.00557407123019,0.0,430.0486332696651,430.03409310081526,429.0615377778163,431.2695074851398
0.23999999999999996,-7.54628825339e-05,0.000121230213481,10.0345648924,0.00419102680714,0.000862652346232,0.0,-0.00119736479639,0.00282408218097,0.372585594208,0.0234082744004,-0.00940632212465,0.0,455.4251755669727,454.22559831224913,457.2687292679226,455.86523326764524
0.3,-0.000163947883226,0.000386146956516,10.0606842379,0.00572169335828,0.000646177914541,0.0,-0.0017128948557,0.00616181613425,0.498011630869,0.0294155173607,0.00600916197258,0.0,443.49206560665004,444.75629075455095,445.75360380316977,446.24427877089454
0.36000000000000004,-0.000280723599794,0.000874811208454,10.0925750035,0.00747551271591,0.000641123335321,0.0,-0.00220096754439,0.0102976664847,0.564981596188,0.0288574011232,-0.0164905003332,0.0,427.95131413126643,426.03217233425636,426.1668148432444,426.11940857643634
0.4200000000000001,-0.000424881099591,0.00169359385035,10.1344906121,0.00970595530624,6.28310025445,0.0,-0.00249699838175,0.0172496732876,0.832047333533,0.0500584813,-0.00452167655965,0.0,486.96878623747335,487.86326147101107,486.61046525022016,488.19520761840425
0.48000000000000015,-0.000572242854009,0.00291032815517,10.1844457331,0.012950282565,6.28269731097,0.0,-0.00238596388856,0.0235819022075,0.833119555254,0.061083575312,-0.0115110314161,0.0,405.197640912341,404.5689984607195,404.6792330643933,405.672529059416
0.5400000000000001,-0.000702780747487,0.00460334185423,10.2371733606,0.01671029977,6.28168155433,0.0,-0.00188256227671,0.0332249753883,0.924392724231,0.0656579134988,-0.0308965100176,0.0,434.701716871136,433.07446008325405,435.6480683770098,436.0332542915173
0.6000000000000002,-0.000773977872538,0.00699274325857,10.297663053,0.0208946145811,6.27937038709,0.0,-0.000266543270811,0.0468751468352,1.09177623293,0.0768518065767,-0.0616320306019,0.0,460.1581759997959,457.7180373082841,458.0066489436362,458.8994628569647
0.6600000000000003,-0.00068471548341,0.0103241477915,10.369371616,0.0254113297455,6.27684231938,0.0,0.00358950828114,0.0647046343328,1.29828335852,0.0719323545091,-0.0185883281011,0.0,469.30232411292195,472.62979314023295,470.6913415886001,470.3146193728517
0.7200000000000003,-0.000313799915482,0.0148292180389,10.4533721939,0.0295622981788,6.27585481857,0.0,0.00889571838941,0.0859550019525,1.50147628981,0.0630257248647,-0.0125068011886,0.0,469.23581924739017,469.70774146431614,471.3557546885345,470.67032723292397
0.7800000000000004,0.000400272671373,0.0207187897867,10.549999098,0.0331532725429,6.27456956292,0.0,0.0150099099778,0.110795859633,1.7191033224,0.0525933305237,-0.0527243538337,0.0,477.0469080569628,473.96606851892636,474.97245867939023,474.1740306059103
0.8400000000000004,0.00152401895009,0.0281849350291,10.6597357123,0.0364387298769,6.27149750705,0.0,0.0228181330597,0.138449150789,1.93841955332,0.0587669844317,-0.048317015703,0.0,475.5646845290163,475.9006332030544,476.43474686970563,476.90827303220993
0.9000000000000005,0.00310177900403,0.0371244104633,10.7754339654,0.039937449513,6.26841585952,0.0,0.0300255638957,0.159829797228,1.91820689673,0.0573865316642,-0.058271650901,0.0,401.42392244649244,400.5175804181462,401.01876607181333,400.89612668354965
0.9600000000000005,0.0052073941719,0.0475136991201,10.8925706761,0.0430541403786,6.26481166062,0.0,0.0405050946879,0.186796244091,1.98621281584,0.0379027016491,-0.0639319522297,0.0,430.5392397564035,430.05740148163113,431.4912040719499,429.8450878783728
1.0200000000000005,0.00808965766879,0.0597499347412,11.0177392053,0.0452023992016,6.26067780705,0.0,0.0560259127935,0.22131963324,2.18568748891,0.0312384167389,-0.0813512847995,0.0,472.2922143904655,470.9434459940661,471.4311301836774,470.9164269365463
1.0800000000000005,0.012058507393,0.0742118694437,11.1571841305,0.0466614962657,6.25650932962,0.0,0.0768271355049,0.260938628823,2.46189486551,0.00453952091027,-0.0526137139909,0.0,492.8631188417237,494.97894420982897,495.7303775996216,493.76474464522255
1.1400000000000006,0.0172501180214,0.0908642307669,11.3085692275,0.0467282326564,6.2535753856,0.0,0.0965390027158,0.294144214167,2.58399233109,-0.00681768215332,-0.0423500003059,0.0,449.31163419994886,450.141469607304,450.7315258978312,449.812744329245
1.2000000000000006,0.0237340515808,0.109583309672,11.4689080932,0.0460129512453,6.25077964925,0.0,0.119880051373,0.329742606363,2.76021581243,-0.0248331182403,-0.0568312387595,0.0,468.7525910316918,467.6246945259789,466.6337707823052,465.22544229183666
1.2600000000000007,0.0316448748323,0.130359378832,11.6385669352,0.0443230744404,6.24701123469,0.0,0.144183213651,0.362605213612,2.89473738619,-0.0358351373075,-0.0787576753283,0.0,455.7395433761584,453.98066631385643,456.20653416508924,455.32700239265137
